family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/business-hotels-in-barcelona,0,1,0,0,1
OTHER: hotels/business-hotels-in-basel,0,1,0,0,1
OTHER: hotels/business-hotels-in-beijing,0,1,0,0,1
OTHER: hotels/business-hotels-in-bergen,0,1,0,0,1
OTHER: hotels/business-hotels-in-berlin,0,1,0,0,1
OTHER: hotels/business-hotels-in-bern,0,1,0,0,1
OTHER: hotels/business-hotels-in-blue-ridge,0,1,0,0,1
OTHER: hotels/business-hotels-in-bogota,0,1,0,0,1
OTHER: hotels/business-hotels-in-bologna,0,1,0,0,1
OTHER: hotels/business-hotels-in-bora-bora,0,1,0,0,1
OTHER: hotels/business-hotels-in-boracay,0,1,0,0,1
OTHER: hotels/business-hotels-in-bordeaux,0,1,0,0,1
OTHER: hotels/business-hotels-in-boston,0,1,0,0,1
OTHER: hotels/business-hotels-in-brisbane,0,1,0,0,1
OTHER: hotels/business-hotels-in-broken-bow,0,1,0,0,1
OTHER: hotels/business-hotels-in-bruges,0,1,0,0,1
OTHER: hotels/business-hotels-in-brussels,0,1,0,0,1
OTHER: hotels/business-hotels-in-bucharest,0,1,0,0,1
OTHER: hotels/business-hotels-in-budapest,0,1,0,0,1
OTHER: hotels/business-hotels-in-buenos-aires,0,1,0,0,1
OTHER: hotels/business-hotels-in-busan,0,1,0,0,1
OTHER: hotels/business-hotels-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/business-hotels-in-cairns,0,1,0,0,1
OTHER: hotels/business-hotels-in-cairo,0,1,0,0,1
OTHER: hotels/business-hotels-in-cancun,0,1,0,0,1
OTHER: hotels/business-hotels-in-cape-town,0,1,0,0,1
OTHER: hotels/business-hotels-in-cappadocia,0,1,0,0,1
OTHER: hotels/business-hotels-in-cartagena,0,1,0,0,1
OTHER: hotels/business-hotels-in-casablanca,0,1,0,0,1
OTHER: hotels/business-hotels-in-cebu,0,1,0,0,1
OTHER: hotels/business-hotels-in-charleston,0,1,0,0,1
OTHER: hotels/business-hotels-in-chefchaouen,0,1,0,0,1
OTHER: hotels/business-hotels-in-chiang-mai,0,1,0,0,1
OTHER: hotels/business-hotels-in-chicago,0,1,0,0,1
OTHER: hotels/business-hotels-in-cinque-terre,0,1,0,0,1
OTHER: hotels/business-hotels-in-cologne,0,1,0,0,1
OTHER: hotels/business-hotels-in-colombo,0,1,0,0,1
OTHER: hotels/business-hotels-in-copenhagen,0,1,0,0,1
OTHER: hotels/business-hotels-in-corfu,0,1,0,0,1
OTHER: hotels/business-hotels-in-crete,0,1,0,0,1
OTHER: hotels/business-hotels-in-cusco,0,1,0,0,1
OTHER: hotels/business-hotels-in-da-nang,0,1,0,0,1
OTHER: hotels/business-hotels-in-delhi,0,1,0,0,1
OTHER: hotels/business-hotels-in-denver,0,1,0,0,1
OTHER: hotels/business-hotels-in-destin,0,1,0,0,1
OTHER: hotels/business-hotels-in-doha,0,1,0,0,1
OTHER: hotels/business-hotels-in-dubai,0,1,0,0,1
OTHER: hotels/business-hotels-in-dublin,0,1,0,0,1
OTHER: hotels/business-hotels-in-dubrovnik,0,1,0,0,1
OTHER: hotels/business-hotels-in-edinburgh,0,1,0,0,1
OTHER: hotels/business-hotels-in-el-nido,0,1,0,0,1
OTHER: hotels/business-hotels-in-fes,0,1,0,0,1
OTHER: hotels/business-hotels-in-florence,0,1,0,0,1
OTHER: hotels/business-hotels-in-fukuoka,0,1,0,0,1
OTHER: hotels/business-hotels-in-gatlinburg,0,1,0,0,1
OTHER: hotels/business-hotels-in-geneva,0,1,0,0,1
OTHER: hotels/business-hotels-in-goa,0,1,0,0,1
OTHER: hotels/business-hotels-in-gold-coast,0,1,0,0,1
OTHER: hotels/business-hotels-in-granada,0,1,0,0,1
OTHER: hotels/business-hotels-in-grindelwald,0,1,0,0,1
OTHER: hotels/business-hotels-in-hakone,0,1,0,0,1
OTHER: hotels/business-hotels-in-hallstatt,0,1,0,0,1
OTHER: hotels/business-hotels-in-hamburg,0,1,0,0,1
OTHER: hotels/business-hotels-in-hanoi,0,1,0,0,1
OTHER: hotels/business-hotels-in-havana,0,1,0,0,1
OTHER: hotels/business-hotels-in-helsinki,0,1,0,0,1
OTHER: hotels/business-hotels-in-hiroshima,0,1,0,0,1
OTHER: hotels/business-hotels-in-ho-chi-minh-city,0,1,0,0,1
OTHER: hotels/business-hotels-in-hoi-an,0,1,0,0,1
OTHER: hotels/business-hotels-in-hong-kong,0,1,0,0,1
OTHER: hotels/business-hotels-in-honolulu,0,1,0,0,1
OTHER: hotels/business-hotels-in-hue,0,1,0,0,1
OTHER: hotels/business-hotels-in-ibiza,0,1,0,0,1
OTHER: hotels/business-hotels-in-innsbruck,0,1,0,0,1
OTHER: hotels/business-hotels-in-interlaken,0,1,0,0,1
OTHER: hotels/business-hotels-in-istanbul,0,1,0,0,1
OTHER: hotels/business-hotels-in-jaipur,0,1,0,0,1
OTHER: hotels/business-hotels-in-jeju,0,1,0,0,1
OTHER: hotels/business-hotels-in-jodhpur,0,1,0,0,1
OTHER: hotels/business-hotels-in-johannesburg,0,1,0,0,1
OTHER: hotels/business-hotels-in-kanazawa,0,1,0,0,1
OTHER: hotels/business-hotels-in-kandy,0,1,0,0,1
OTHER: hotels/business-hotels-in-kathmandu,0,1,0,0,1
OTHER: hotels/business-hotels-in-koh-samui,0,1,0,0,1
OTHER: hotels/business-hotels-in-krabi,0,1,0,0,1
OTHER: hotels/business-hotels-in-krakow,0,1,0,0,1
OTHER: hotels/business-hotels-in-kuala-lumpur,0,1,0,0,1
OTHER: hotels/business-hotels-in-kyoto,0,1,0,0,1
OTHER: hotels/business-hotels-in-lake-bled,0,1,0,0,1
OTHER: hotels/business-hotels-in-lake-como,0,1,0,0,1
OTHER: hotels/business-hotels-in-lake-tahoe,0,1,0,0,1
OTHER: hotels/business-hotels-in-langkawi,0,1,0,0,1
OTHER: hotels/business-hotels-in-las-vegas,0,1,0,0,1
OTHER: hotels/business-hotels-in-lauterbrunnen,0,1,0,0,1
OTHER: hotels/business-hotels-in-lima,0,1,0,0,1
OTHER: hotels/business-hotels-in-lisbon,0,1,0,0,1
OTHER: hotels/business-hotels-in-london,0,1,0,0,1
OTHER: hotels/business-hotels-in-los-angeles,0,1,0,0,1
OTHER: hotels/business-hotels-in-luang-prabang,0,1,0,0,1
OTHER: hotels/business-hotels-in-lucerne,0,1,0,0,1
